QCM || Question 1 :  Virus: || V:  peut infecter des bactéries, des cellules animales ou végétales | V:  sont répliqués par la cellule quʼils parasitent |   ne peut infecter que lʼhomme | V:  nʼont pas les capacités propre de synthèse protéique |   ont une structure procaryote | V: sont des microorganismes parasites |   sont des microorganismes commensales | V:  sont répliqués dans le cytoplasme ou dans le noyau de la cellule hôte |   sont appelé aussi viroïdes |   ont des capacités de synthèse de protéines mais pas de synthèse dʼénergie
QCM || Question 268 :  Des bactéries auxotrophes sont les suivantes: ||  . Klebsiella pneumoniae |   Pseudomonas aeruginosa | V:  Haemophilus influenzae | V: . Chlamydophila pneumoniae | V:  Neisseria gonorrhoeae |  Enterococcus faecalis |   Staphylococcus aureus | V:  Treponema pallidum | V:  Mycobacterium leprae |  Escherichia coli
QCM || Question 269 :  A propos de la croissance de la population bactérienne dans un volume limité de milieux de culture: || V:  le temps de génération est déterminé génétiquement | V:  dans la phase stationnaire, les bactéries ont une morphologie caractéristique |   dans la phase stationnaire, les bactéries ont une sensibilité maximale aux antibiotiques |   lʼaccélération du taux de croissance commence dans lʼappât ou la concentration en nutriments diminue |   dans la phase de lag, les bactéries sont adaptées a lʼenvironnement et commencent a se multiplier | V: dans la phase logarithmique, le temps de génération est le plus court |   le temps de génération pour les bactéries avec croissance rapide est de 24 heures | V:  dans la phase de lag, les bactéries ne se multiplient pas | V:  les tests de sensibilité aux antibiotiques sont effectués dans la phase de croissance logarithmique |   dans les cultures anciennes, toutes les bactéries sporulent
QCM || Question 270 :  Le parasitisme représente : ||   le microorganism se nourrit aux frais de lʼhôte mais ne rend pas service (on lʼappelle aussi commensalisme) | V:  est une infection | V:  micro-organismes pathogenes primaires se développent avec leurs relations hôtes de parasitisme | V:  les virus sont des micro-organismes parasites |   on lʼappelle aussi foresie |  est une dysbiose | V:  est une colonisation pathologique | V:  une relation entre un micro-organisme et son hôte |  on lʼappelle aussi opportunisme
QCM || Question 271 :   Le commensalisme représente : || V: cʼest une relation unilatérale |  est une infection |  on lʼappelle aussi foresis |  les bactéries commensales sont aussi appelées bactéries pionieres | V: le micro-organisme se nourrit au frais de lʼhôte mais ne rend pas mauvais service | V: les micro-organismes comensales font partie de la flore normale de lʼhomme | V: une relation entre un micro-organisme et son hôte | V: un micro-organisme commensale peut se présenter dans certaines conditions comme parasitaires |  un microorganisme pathogène peut devenir commensale |  on lʼappelle aussi opportunisme
QCM || Question 272 :  Le mutualisme représente: ||   cʼest une relation unilatérale | V:  une bactérie qui provoque une infection latente développe avec lʼhôte une relation de mutualisme |   on lʼappelle aussi opportunisme | V:  en cette relation profite les deux partenaires | V:  une relation entre un micro-organisme et son hôte |  on lʼappelle aussi mycose |   est une infection grave | V:  Les bactéries mutualistes peuvent se transformer dans certaines conditions en bactéries pathogenes |   les bactéries mutualistes sont aussi appelées bactéries saprophytes | V:  Les dommages aux barrieres de lʼhôte peuvent transformer un micro-organisme mutualiste en un microorganisme pathogene
QCM || Question 273 :  Bactéries opportunistes : || V:  ils sont également appelés bactéries conditionnellement pathogènes |   sont des bactéries pathogènes primaires | V:  les dommages aux barrières antimicrobiennes de lʼhôte favorisent leur pathogénicité |   on les appelle aussi bactéries hautement pathogènes | V:  dans certaines conditions peut devenir pathogène | V: sont bactéries commensales ou mutualistes |   provoque des infections de nʼimporte quel hôte |   sont des bactéries non pathogènes |   provoque une dysbiose | V:  le transfert de matériel génétique entre bactéries peut favoriser leur pathogénicité
QCM || Question 274 :  Bactéries hautement pathogènes : || V:  sont des bactéries qui causent des infections chez lʼhôte immunocompétent |   ne peut pas causer dʼinfections dans des conditions normales | V:  les rickettsies sont des bactéries hautement pathogène |   on les appelle aussi bactéries atypiques | V:  Mycobacterium tuberculosis est une bactérie hautement pathogène |  ils sont aussi appelés opportunistes |   cause des infections seulement chez le nouveau-né et le nourrisson | V:  sont aussi appelées bactéries pathogènes primaires | V:  les mycoplasmes sont des bactéries hautement pathogènes |   sont des virus nus
QCM || Question 275 :  Espèces pionnières : ||   sont généralement des espèces hautement pathogènes | V:  les espèces pionnières modifient les conditions du biotope dans lequel elles habitent |  sont aussi appelés espèces climax |   ne peut pas coloniser les surfaces hôtes | V:  créer les conditions de la colonisation avec des espèces de transition | V: sont les premières bactéries à contaminer une surface stérile |   sont les premières espèces virales a coloniser une surface | V:  sont les premières espèces bactériennes à coloniser une surface | V:  sont des bactéries qui peuvent s'adapter aux conditions offertes par l' hôte |   on les appelle aussi espèces de transition
QCM || Question 276 :  Microbiote indigène de la cavité buccale : ||   est dominé par des bactéries strictement aérobies |   comprend des levures en grand nombre | V:  comprend en petit nombre de levures | V:  est dominé par des bactéries strictement anaérobies | V:  est dominé par les streptocoques alpha-hémolytiques |  comprend les espèces de neisseries non pathogènes |  est dominé par les streptocoques beta-hémolytiques | V: comprend des staphylocoques a coagulase positive | comprend les staphylocoques a coagulase négative | V:  Comprend des espèces de neisseries sans prétention
QCM || Question 277 :  Microbiote indigène du tégument : ||  comprend des espèces de neisseries sans prétention | V:  est dominé par des bactéries résistantes au sec |   est dominé par les staphylocoques a coagulase positive |   comprend des levures en grand nombre | V:  comprend en petit nombre de levures |  est dominé par les streptocoques beta-hémolytiques |  est dominé par des bactéries strictement aérobies | V:  Comprend les bacilles diphtérimorfiques | V:  est dominé par des bactéries sans prétention nutritive | V:  est dominé par les staphylocoques a coagulase négative
QCM || Question 278 :  Les zones contaminées mais non colonisées sont : ||   muqueuse conjonctivale |   muqueuse vaginale |  urètre distal |  iléon terminal | V:  sinus paranasaux | V:  voies génitales internes |  muqueuse buccale | V: voies respiratoires inférieures | V:    voies biliaires | V:  oreille moyenne
QCM || Question 279 :  Les zones normalement colonisées du corps humain sont : ||   cavité péricardique | V: le tégument | V: muqueuse buccale |   sang |   cavité péritonéale |  organes génitaux internes | V:  côlon | V:  urètre distal | V:	conjonctive |  urètre proximal
QCM || Question 280 :  En ce qui concerne la pathogénicité des microorganismes, nous pouvons dire: ||   les bactéries non pathogènes peuvent causer des infections dans des conditions particulières | V:  Les bactéries conditionnement pathogènes peuvent causer des infections chez lʼhôte avec une mauvaise défense |   les bactéries pathogènes ne peuvent pas rendre lʼhôte normoreactif malade |   représente lʼensemble des propriétés dʼun micro-organisme qui lui permettent de coloniser lʼhôte |   les bactéries non pathogènes peuvent rendre lʼhôte normoreactive malade |  les bactéries pathogènes conditionnelles peuvent causer des infections chez lʼhôte normoreactive | V:  les bactéries non pathogènes ne peuvent pas causer dʼinfections | V:  les bactéries pathogènes peuvent rendre lʼhôte malade sans défenses spécifiques | V:  est la somme des propriétés dʼun micro-organisme lui permettant dʼinfecter lʼhôte | V:  Les bactéries conditionnement pathogènes peuvent causer des infections si elles acquièrent des facteurs virulents supplémentaires
QCM || Question 281 :  Les principaux attributs dʼune bactérie pathogene peuvent etre: ||   résistance dans lʼenvironnement extérieur | la capacité de se multiplier dans lʼenvironnement acide | V:  la capacité de persister dans lʼorganisme de lʼhôte | V:  la capacité de coloniser lʼhôte | V:  la capacité de se multiplier dans lʼorganisme de lʼhôte | V:  la capacité de pénétrer dans lʼorganisme de lʼhôte |   sensibilité aux agents de décontamination |  transmissibilité dʼun hôte a un autre | V:  la capacité de nuire a lʼhôte |   sensibilité aux antibiotiques
QCM || Question 282 :  La transmissibilité dʼune bactérie peut être assurée par: || V: Résistance à la sécheresse |  les virus avec porte dʼentrance respiratoire sont hautement transmissibles | V: résistance aux basses températures | V:  adaptation a la transmission par vecteurs | V: la capacité de se développer dans des environnements pauvres en éléments nutritifs | V: capacité à sporuler |  la capacité de se développer dans des environnements enrichis |  adaptation à la transmission des plaies et des brulures | la capacité de tolérer des environnements a pH variable |  sensibilité à lʼaction des agents chimiques
